city,section,subsection,text
Cairo,description,,"Cairo (pronounced KY-roh ; Arabic : القاهرة al-Qāhirah ) is the capital of Egypt (until the New Administrative Capital is completed) and, with a total population of Greater Cairo metropolitan area in excess of 16 million people, one of the largest cities in both Africa and the Middle East (the regions which it conveniently straddles). It is also the 19th largest city in the world, and among the world's most densely populated cities."
Cairo,description,,"On the Nile river, Cairo is famous for its own history, preserved in the fabulous medieval Islamic city and Coptic sites in Old Cairo — with historic Cairo inscribed on the UNESCO World Heritage list . The Egyptian Museum in the city centre is a must see, with its countless Ancient Egyptian artefacts, as is shopping at the Khan al-Khalili bazaar. No trip to Cairo would be complete without a visit to the Giza Pyramids and to the nearby Saqqara Pyramid Complex , where visitors will see Egypt's first step pyramid built by the architect Imhotep for the third dynasty pharaoh Djoser."
Cairo,description,,"Though firmly attached to the past, Cairo is also home to a vibrant modern society. The Midan Tahrir area situated in downtown Cairo, built in the 19th century under the rule of Khedive Ismail, has strived to be a ""Paris on the Nile"". There also are a number of more modern suburbs including Ma'adi and Heliopolis , while Zamalek is a quiet area on Gezira Island , with upmarket shopping. Cairo is best in the autumn or spring, when the weather isn't so hot. A felucca ride on the Nile is a good way to escape from the busy city, as is a visit to Al-Azhar Park."
Cairo,Districts,,"Greater Cairo is vast; with more than 20 million people (2018), it's the largest metropolitan area in Africa and the Middle East."
Cairo,Districts,,"Downtown The modern city centre. Midan Tahrir (meaning ""Liberation Square"") was the scene of the massive 2011 protests that ousted President Mubarak, and big (sometimes violent) rallies and protests still occur here. Just north of the square is the Egyptian Museum, and many big hotels are nearby. The Downtown area stretches east 2 km to Midan Ramses, which contains Cairo's main railway station and a burgeoning retail and accommodation zone."
Cairo,Districts,,"Garden City A district close to the city centre and the Corniche el-Nil, a good option for central accommodation."
Cairo,Districts,,"Old Cairo Located south of downtown, includes Coptic Cairo, Fustat (Cairo's historical kernel) and Rhoda Island."
Cairo,Districts,,"Islamic Cairo Located east of downtown, this was the centre of historic Cairo beginning in the 10th century. Contains the Citadel, Mohamed Ali Mosque, Khan el Khalili (the main bazaar or souq ), historic mosques and medieval architecture, as well as some of Cairo's Turkish baths (hammams)."
Cairo,Districts,,"Dokki and Mohandeseen (Giza) Located on the west bank of the Nile, with upscale restaurants, shopping, and accommodation."
Cairo,Districts,,"Gezira Island Upmarket district on a large island in the Nile. The Cairo Tower, the Opera House, Zamalek neighborhood, and some nice shopping, restaurants, cafés, and accommodation are located here."
Cairo,Districts,,"Giza Everything west of the Nile's west bank is actually in Giza city rather than Cairo city. So it's a sprawling conurbation in its own right, including the Nile islands of Gezira and Roda, and the riverside districts of Dokki and Mohandeseen. But above all it's renowned for the pyramids , at Giza's western edge: this area is known as the Haram (pyramid) district. The Grand Egyptian Museum opens here in 2023."
Cairo,Districts,,"Ma'adi A quiet upmarket residential district south of the centre, catering to many foreign expatriates."
Cairo,Districts,,"Eastern districts A series of planned communities which have been built away from the congestion of historic Cairo. From oldest to newest, they include Heliopolis, Nasr City, and New Cairo. These areas are mostly upper-class and commercial centres. Cairo's airport is also here."
Cairo,Districts,,"Northern districts A vast area of mostly low-income, unplanned neighbourhoods."
Cairo,See,,"Cairo is a vast metropolitan cityscape. It includes an array of modern skyscrapers, mosques, bazaars and ruins of associated ancient monuments outside the city."
Cairo,See,,"Cairo has an overwhelming array of attractions, listed under their individual districts along with transport and other practicalities. Some highlights:"
Cairo,See,,"Pyramids of Giza and the Sphinx . The oldest and only surviving monuments of the Seven Wonders of the Ancient World, it is the country's most famous tourist attraction. See it now before the hordes return."
Cairo,See,,"30.047778 31.233333 1 Egyptian Museum ( 250 m north of Tahrir square ), ☏ +20 2 25796948 . The Museum of Egyptian Antiquities (known by all as the Egyptian Museum) hosts the world's premier collection of ancient Egyptian artifacts. Parts of its collections are being moved to the new Grand Egyptian Museum in Giza, which is to open in 2022. Adult 200 LE, student: 100 LE; photography (personal use, without flash): camera 50 LE, video 300 LE . ( updated Oct 2021 )"
Cairo,See,,"Citadel and Mosque of Mohamed Ali Pasha , in Islamic Cairo . A grand castle built by Salah Al-Din. Also parts of the water pipes (Majra Al-Oyouon) are still there, these pipes used to carry the water from the Nile River to the citadel. Mohamed Ali is considered to be the founder of modern Egypt, the ancestor of the last King of Egypt, King Farouk."
Cairo,See,,Al-Azhar Mosque . One of the pillars of Islamic thought and home to the world's oldest university.
Cairo,See,,"Grand Egyptian Museum (GEM) is the newest  national museum in Giza, Egypt. It is located about two kilometers from the Giza Pyramid Complex."
Cairo,See,,National Museum of Egyptian Civilization (NMEC) hosts a sweeping collection that gives you an overview of Egyptian culture through the ages.
Cairo,See,,"Ibn Tulun ( مسجد أحمد بن طولون ) ( close to Sayida Zeinab ). Arguably the oldest mosque in Cairo, built between 868-884."
Cairo,See,,"The Coptic Quarter , in Coptic Cairo , notably the museum and the ""Hanging Church"" (Church of the Virgin Mary)"
Cairo,See,,"Cairo Tower (185 m./610 ft.) on Gezira Island offers a 360-degree view of Cairo, along with the Giza Pyramids off in the distance to the west."
Cairo,See,,30.0405 31.2646 2 Al-Azhar Park . A landscaped garden overlooking the Citadel
