city,country,continent,section,subsection,text
London,United Kingdom,Europe,description,,"Noisy, vibrant and truly multicultural, London is a megalopolis of people, ideas and frenetic energy. The capital and largest city of the United Kingdom sits on the River Thames in South-East England . Greater London has a population of a little over 9 million. Considered one of the world's leading ""global cities"", London remains an international capital of culture, music, education, fashion, politics, finance and trade. For the visitor, there is a seemingly endless choice of historical sites, shopping, museums, food, art galleries, nightlife, and activities. Once a Celtic settlement, London is a bustling city, where visitors come to experience the urban heritage and see its specific royal-themed attractions."
London,United Kingdom,Europe,Districts,,"The name ""London"" used to refer only to the once-walled ""Square Mile"" of the original Roman and later medieval city; this is now confusingly called the "" City of London "" or just ""The City"". Today, London has taken on a much larger meaning to include all of the vast central parts of the modern metropolis, with the city having absorbed numerous surrounding towns and villages over the centuries, including large portions of the surrounding ""home counties"", one of which - Middlesex - being completely consumed by the growing metropolis. The term Greater London embraces Central London together with all the outlying suburbs that lie in one continuous urban sprawl within the lower Thames Valley. Though densely populated, London retains large swathes of green parkland and open space, even within the city centre."
London,United Kingdom,Europe,Districts,,"Greater London is most of the area surrounded by the M25 orbital motorway, and consists of 32 London Boroughs and the City of London that, together with the office of the Mayor of London, form the basis for London's local government. The Mayor of London is elected by London residents and should not be confused with the Lord Mayor of the City of London. The names of several boroughs, such as Westminster and Camden , are well-known, others less so, such as Wandsworth and Lewisham . This traveller's guide to London recognises cultural, functional and social districts of varying type and size:"
London,United Kingdom,Europe,Districts,,"Bloomsbury ( British Museum, Cartoon Museum, Foundling Museum, University College London, Wellcome Collection ) Vibrant historic district made famous by a group of turn-of-the-century writers. It is now the location of numerous historic homes, and oasis-like squares fringed by elegant buildings."
London,United Kingdom,Europe,Districts,,"City of London ( Bank of England, Museum of London, Tower Bridge, Tower of London, St Paul's Cathedral ) The City is where London originally developed within the Roman city walls and is a city in its own right, separate from the rest of London. It is now one of the most important financial centres in the world, and an area where modern skyscrapers stand next to medieval churches on ancient street layouts."
London,United Kingdom,Europe,Districts,,"Covent Garden ( Covent Garden Piazza, London Transport Museum, Royal Opera House ) One of the main shopping and entertainment districts, and part of London's West End Theatreland."
London,United Kingdom,Europe,Districts,,"Holborn-Clerkenwell ( Hatton Garden, Inns of Court, Royal Courts of Justice, Sadler's Wells, Somerset House ) Buffer zone between the West End and the City of London financial district, and the home of English Common Law."
London,United Kingdom,Europe,Districts,,"Leicester Square ( National Gallery, National Portrait Gallery, Piccadilly Circus, Trafalgar Square ) A West End district that is the centre of London's Theatreland, features UK and world cinema premieres and is also home to the city's Chinatown."
London,United Kingdom,Europe,Districts,,"Mayfair-Marylebone ( London Zoo, Madame Tussauds, Regent's Park, Royal Academy of Arts, Wallace Collection ) Some extremely well-heeled districts of west central London with London's primary shopping streets, among them Bond Street, Oxford Street, Regent Street and Savile Row."
London,United Kingdom,Europe,Districts,,"Notting Hill-North Kensington ( Design Museum, Holland Park, Museum of Brands, Portobello Road Market ) Lively fruit and antiques market, interesting history, the world famous carnival and a very ethnically diverse population"
London,United Kingdom,Europe,Districts,,"Paddington-Maida Vale ( Abbey Road, Little Venice, Lord's Cricket Ground ) Largely residential district of northwest central London with lots of mid-range accommodation, famous for its canal and houseboats."
London,United Kingdom,Europe,Districts,,"Soho ( Carnaby Street, Soho Square ) Dense concentration of highly fashionable restaurants, cafés, clubs and  jazz bars, as well as London's gay village all mixed in with a cluster of sex shops and seedier adult entertainment venues."
London,United Kingdom,Europe,Districts,,"South Bank ( Borough Market, British Film Institute, London Eye, National Theatre, Shakespeare's Globe Theatre, Tate Modern, The Shard ) This was historically the location of the activities frowned upon by the Puritans who exiled theatre, cock-fighting and bear fights from the original walled City of London to the other side of the Thames."
London,United Kingdom,Europe,Districts,,"South Kensington-Chelsea ( Kensington Palace, Kensington Gardens, Natural History Museum, Royal Albert Hall, Science Museum, Victoria and Albert Museum ) An extremely well-heeled inner London district with famous department stores, Hyde Park, many museums and the King's Road."
London,United Kingdom,Europe,Districts,,"Westminster ( Buckingham Palace, Downing Street, Horse Guards, Houses of Parliament, Tate Britain, Westminster Abbey, Westminster Cathedral ) The seat of government and an almost endless list of historical and cultural sights. Relax in one of two beautiful Royal parks, Green Park and St James's Park"
London,United Kingdom,Europe,Districts,,"Camden ( British Library, Camden Town Markets, Jewish Museum, King's Cross and St Pancras International stations ) A diverse area of north London that includes eclectic Camden Town, a hub of alternative fashion and youth-oriented markets."
London,United Kingdom,Europe,Districts,,"East End ( Brick Lane, Columbia Road Flower Market, Docklands, Petticoat Lane Market, Spitalfields Market, Young V&A ) A traditional working class heartland of inner London to the east of The City, made famous by countless movies and TV shows. Once the stalking ground of Jack the Ripper, now home to hipster-y bars, art galleries and parks, and an extremely diverse population."
London,United Kingdom,Europe,Districts,,"Greenwich ( London cable car, Maritime Greenwich, Prime Meridian, Royal Observatory, The O2 Arena ) On the pretty southern banks of the Thames is an area with strong links to Britain's seafaring heritage and breathtaking views across to Canary Wharf."
London,United Kingdom,Europe,Districts,,"Hackney ( Hackney Empire, London Fields, Museum of the Home, Victoria Park ) Hackney has become fashionable and is home to a thriving arts scene as well as many trendy cafés, bars, and pubs."
London,United Kingdom,Europe,Districts,,"Hammersmith and Fulham ( Chelsea FC, Fulham FC, Fulham Palace, Shepherd's Bush Empire, Westfield White City ) Well-heeled Thames-side borough in west London which is a hotbed for professional football and diverse shopping experiences."
London,United Kingdom,Europe,Districts,,"Hampstead ( Freud Museum, Highgate Cemetery, Keats House, Kenwood House, Primrose Hill ) Literary north London and the wonderful open spaces of Hampstead Heath."
London,United Kingdom,Europe,Districts,,Islington ( Arsenal FC ) Area to the north of Clerkenwell that has undergone huge gentrification since 1990.
London,United Kingdom,Europe,Districts,,"Lambeth ( Imperial War Museum, Lambeth Palace, The Old Vic, The Oval Cricket Ground ) A diverse multicultural district to the south of the River Thames; includes LGBT-friendly Vauxhall , more middle class Clapham and the Caribbean flavours of Brixton ."
London,United Kingdom,Europe,Districts,,"Southwark-Lewisham ( Crystal Palace Park, Dulwich Picture Gallery, Horniman Museum ) Inner southern districts of London; traditionally residential, with a large melting pot of communities. The area retains some leftfield, quirky attractions. You can find a restaurant from just about any ethnic group in the world."
London,United Kingdom,Europe,Districts,,"Wandsworth ( Battersea Park, Battersea Power Station, Clapham Common, London Wetland Centre ) Grand Thames-side areas and open green parks to the north, and dense housing to the south."
London,United Kingdom,Europe,Districts,,"Richmond-Kew ( Bushy Park, Hampton Court Palace, National Archives, Richmond Park, Royal Botanic Gardens, Twickenham Stadium ) Leafy Thames-side scenery with a semi-rural feel which is helped by the presence of major parkland and numerous large aristocratic residences."
London,United Kingdom,Europe,Districts,,"Wimbledon ( All England Lawn Tennis and Croquet Club, New Wimbledon Theatre, Wimbledon Lawn Tennis Museum ) Home to the annual tennis Championships and wombling Wimbledon Common."
London,United Kingdom,Europe,Districts,,"North ( Alexandra Palace, Highgate Wood, Neasden Temple, RAF Museum, Tottenham Hotspur FC, Wembley Stadium ) Largely made up of lush green middle-class suburbs, many of which were formerly part of the counties of Middlesex, Hertfordshire and Buckinghamshire before being absorbed into Greater London."
London,United Kingdom,Europe,Districts,,"South ( Chessington World of Adventures, Chislehurst Caves, Down House ) Containing many commuter suburbs formerly belonging to the counties Kent and Surrey with housing in varying styles, as well as the buzzing urban centres of Sutton , Kingston upon Thames , Croydon and Bromley ."
London,United Kingdom,Europe,Districts,,"East ( City Airport, Queen Elizabeth Olympic Park, West Ham United FC, Westfield Stratford City ) Originally part of the county of Essex, taking in former industrial areas on the upper Thames Estuary, while to the northeast lies the gateway to the affluent Epping Forest area."
London,United Kingdom,Europe,Districts,,"West ( Chiswick House, Heathrow Airport, Musical Museum, Osterley Park, Syon Park ) Taking in much of the ancient English county of Middlesex (which many local residents still identify with rather than ""London"") and former parts of Buckinghamshire."
London,United Kingdom,Europe,Districts,Central London,"Bloomsbury ( British Museum, Cartoon Museum, Foundling Museum, University College London, Wellcome Collection ) Vibrant historic district made famous by a group of turn-of-the-century writers. It is now the location of numerous historic homes, and oasis-like squares fringed by elegant buildings."
