city,section,subsection,text
Seoul,description,,"Seoul (서울) is the capital of South Korea . With a population of over 9 million (with over 20 million in the wider metropolitan area), Seoul is by far South Korea's largest city and one of East Asia's financial and cultural centers. A fascinating blend of ancient traditions and cutting-edge digital technology, home to endless street food vendors and vast nightlife districts, an extraordinarily high-pressure educational system and serene Buddhist temples, a dynamic trend-setting youth culture and often crushing conformism, extraordinary architecture and endless monotonous rows of grey apartment buildings, Seoul is a city filled with stark contrasts, contradictions, and paradoxes. People in Seoul can enjoy various artistic activities such as plays, musicals, and concerts."
Seoul,Districts,,"Administratively, Seoul is divided into 25 districts (구 gu ), each with an area and population comparable to a small city. The districts are then further subdivided into 522 sub-districts (동 dong ). The Han river splits the city into two halves: Gangbuk (강북), the northern, more historical half, and Gangnam (강남), the southern, wealthier and more modern half. The sheer size of the city means that travelers to Seoul will find it difficult to locate a true ""center"" of Seoul; instead, Seoul is almost more like a collection of cities that happen to be bunched together, each with their own central business and commercial districts. The two largest core areas are Jongno/Jung in the north, and Gangnam in the south. For travelers with more time, there are many more, smaller centers and districts to be explored, such as the island of Yeoui-do and the college district of Hongdae/Sinchon. For the typical traveler, it would be useful to divide the city into the following areas:"
Seoul,Districts,,"Jongno (종로) ( Jongno-gu ) The Joseon-era historical core of the city with the famous Joseon Palace, Gyeongbokgung. Bukchon has beautiful traditional Korean house and Insa-dong has the largest antiques market street in Seoul. Cheongyecheon has a renovated stream and park that runs through the heart of the downtown area."
Seoul,Districts,,"Jung (중) ( Jung-gu ) This district makes up the other half of the historic core as well as the shopping districts of Myeongdong and Namdaemun Market. This area contains Seoul Station and Namsan Mountain, with the Seoul Tower at its summit."
Seoul,Districts,,"Seodaemun & Mapo (서대문/마포) ( Seodaemun-gu, Mapo-gu ) These two districts lie immediately west of Jongro and Jung, and contain dozens of universities and colleges. As such, this area is home to some of Seoul's most active nightlife districts: Hongdae (홍대) and Sinchon (신촌)."
Seoul,Districts,,"Yongsan (용산) ( Yongsan-gu ) Yongsan is home to the US Army Military Base as well as one of the huge Yongsan Electronics Market. This is also where you'll find Itaewon (이태원), perhaps the most culturally diverse area in Korea and home to dozens of restaurants featuring cuisine from the world over, numerous shops selling everything from custom-tailored suits to antiques, and several Western pubs and bars."
Seoul,Districts,,"Yeongdeungpo & Guro (영등포 / 구로) ( Yeongdeungpo-gu, Guro-gu ) Covering Yeoui-do on the Han River as well as an area on the south side, this is often referred to as the 'Manhattan of Seoul'. Guro is one of the IT venture company clusters."
Seoul,Districts,,"Gangnam & Seocho (강남 / 서초) ( Gangnam-gu, Seocho-gu ) Famed for 'Gangnam Style', this affluent area is the glitzy center of modern Seoul, home to hundreds of glass and steel skyscrapers, neon billboards, and some of the most expensive real estate in the country."
Seoul,Districts,,"Songpa & Gangdong (송파 / 강동) ( Songpa-gu, Gangdong-gu ) A residential district east of Gangnam where you'll find Lotte World, Olympic Park, Seoul (Jamsil) Sports Complex, and the Sincheon nightlife district."
Seoul,Districts,,"North ( Nowon-gu, Seongbuk-gu, Gangbuk-gu, Dobong-gu, Eunpyeong-gu ) Northern area including Eunpyeong, Seongbuk, Gangbuk, Dobong and Nowon. Mt. Bukhansan and Mt. Dobongsan area."
Seoul,Districts,,"South ( Dongjak-gu, Gwanak-gu, Geumcheon-gu ) Area south of the Han river including Dongjak, Gwanak and Geumcheon. This is where you can enjoy fresh seafood at the huge Noryangjin fish market."
Seoul,Districts,,"East ( Jungnang-gu, Gwangjin-gu, Seongdong-gu, Dongdaemun-gu ) Dongdaemun, Jungnang, Gwangjin, Seongdong with greenery and some interesting cultural sites."
Seoul,Districts,,"West ( Gangseo-gu, Yangcheon-gu ) Western area south of the Han river and including Gangseo and Yangcheon"
Seoul,See,,"Seoul is a vast, vibrant cityscape, set against an airy backdrop of mountains. It includes a standout collection of attractions with a blend of old and new."
