answer_llm,answer_org,document,question,city,id
The name of the oldest known pyramid in Dahshur is the **Red Pyramid**.,"29.8 31.233333 1 Dahshur Pyramids . For a contrast to touristy Pyramids of Giza, head south to the oldest known pyramid, the Red Pyramid. The neglected Dahshur Pyramids are interesting and worth a visit, considering its history and the hassle-free atmosphere. Also, see the weird Bent Pyramid there and hike around the area to the Black Pyramid. The Red Pyramid has an entrance to the inside, which you can climb down. ( updated Jan 2018 )",f7845786,What is the name of the oldest known pyramid in Dahshur?,Cairo,f7845786
"The **Red Pyramid** in Dahshur has an entrance to the inside, which you can climb down.","29.8 31.233333 1 Dahshur Pyramids . For a contrast to touristy Pyramids of Giza, head south to the oldest known pyramid, the Red Pyramid. The neglected Dahshur Pyramids are interesting and worth a visit, considering its history and the hassle-free atmosphere. Also, see the weird Bent Pyramid there and hike around the area to the Black Pyramid. The Red Pyramid has an entrance to the inside, which you can climb down. ( updated Jan 2018 )",f7845786,Which pyramid in Dahshur has an entrance to the inside?,Cairo,f7845786
"Based on the provided **CONTEXT**, the distinctive feature of the **Bent Pyramid** is that it has a **weird, unusual shape**—it appears ""bent"" due to a change in its angle mid-construction.

*(From the first CONTEXT entry: ""Also, see the **weird Bent Pyramid** there..."")*","29.8 31.233333 1 Dahshur Pyramids . For a contrast to touristy Pyramids of Giza, head south to the oldest known pyramid, the Red Pyramid. The neglected Dahshur Pyramids are interesting and worth a visit, considering its history and the hassle-free atmosphere. Also, see the weird Bent Pyramid there and hike around the area to the Black Pyramid. The Red Pyramid has an entrance to the inside, which you can climb down. ( updated Jan 2018 )",f7845786,What is the distinctive feature of the Bent Pyramid?,Cairo,f7845786
"Based on the provided **CONTEXT**, the following pyramids are mentioned in the **Dahshur area**:

1. **Red Pyramid**
2. **Bent Pyramid**
3. **Black Pyramid**

Thus, **three pyramids** are mentioned in the Dahshur area.","29.8 31.233333 1 Dahshur Pyramids . For a contrast to touristy Pyramids of Giza, head south to the oldest known pyramid, the Red Pyramid. The neglected Dahshur Pyramids are interesting and worth a visit, considering its history and the hassle-free atmosphere. Also, see the weird Bent Pyramid there and hike around the area to the Black Pyramid. The Red Pyramid has an entrance to the inside, which you can climb down. ( updated Jan 2018 )",f7845786,How many pyramids are mentioned to be in the Dahshur area?,Cairo,f7845786
"Based on the **CONTEXT**, the atmosphere around the **Dahshur Pyramids** compared to **Giza** is:

- **Dahshur** offers a **hassle-free, less touristy** experience with a more **neglected but historically rich** vibe. Visitors can explore the **Red Pyramid (oldest known pyramid)**, the **Bent Pyramid**, and even hike to the **Black Pyramid** without the crowds. The **Red Pyramid** also allows entry inside, adding to the adventure.

- **Giza**, in contrast, is **highly touristy** and part of a **sprawling urban area** (Giza city). The **Pyramid district (Haram)** is bustling, with accommodations offering **pyramid views**, the upcoming **Grand Egyptian Museum (2023)**, and easy access to attractions like the **Cairo Tower** and **Nile river activities**. The area blends ancient wonders with modern city life, including upscale districts like **Dokki and Mohandeseen**.

In short: **Dahshur = Quiet, historic, and off-the-beaten-path; Giza = Iconic but crowded, with urban amenities.**","29.8 31.233333 1 Dahshur Pyramids . For a contrast to touristy Pyramids of Giza, head south to the oldest known pyramid, the Red Pyramid. The neglected Dahshur Pyramids are interesting and worth a visit, considering its history and the hassle-free atmosphere. Also, see the weird Bent Pyramid there and hike around the area to the Black Pyramid. The Red Pyramid has an entrance to the inside, which you can climb down. ( updated Jan 2018 )",f7845786,What is the atmosphere around Dahshur Pyramids like compared to Giza?,Cairo,f7845786
"The coordinates of **Al-Azhar Park** are **30.0405, 31.2646**.",30.0405 31.2646 2 Al-Azhar Park . A landscaped garden overlooking the Citadel,fca551b1,What are the coordinates of Al-Azhar Park?,Cairo,fca551b1
"From **Al-Azhar Park**, you can see the following famous landmarks:

1. **The Citadel** (coordinates: 30.0405, 31.2646)
2. **Al-Azhar Mosque** (one of the oldest universities in the world)",30.0405 31.2646 2 Al-Azhar Park . A landscaped garden overlooking the Citadel,fca551b1,Which famous landmark can you see from Al-Azhar Park?,Cairo,fca551b1
"Yes, **Al-Azhar Park is a landscaped garden** overlooking the Citadel.",30.0405 31.2646 2 Al-Azhar Park . A landscaped garden overlooking the Citadel,fca551b1,Is Al-Azhar Park a landscaped garden?,Cairo,fca551b1
"Based on the provided **CONTEXT**, the name of the park that overlooks the **Citadel** is:

**Al-Azhar Park** (coordinates: 30.0405, 31.2646). It is described as a landscaped garden overlooking the Citadel.",30.0405 31.2646 2 Al-Azhar Park . A landscaped garden overlooking the Citadel,fca551b1,What is the name of the park that overlooks the Citadel?,Cairo,fca551b1
"Based on the provided **CONTEXT**, only **one entry** includes coordinates for **Al-Azhar Park**:

**Coordinates provided:**
**30.0405 31.2646** (2 coordinates, representing latitude and longitude).

Thus, **2 coordinate values** are provided for Al-Azhar Park.",30.0405 31.2646 2 Al-Azhar Park . A landscaped garden overlooking the Citadel,fca551b1,How many coordinates are provided for Al-Azhar Park?,Cairo,fca551b1
Abdeen Palace in Cairo served as the **royal residence** until the Egyptian monarchy was deposed in 1952.,"30.0417 31.2483 4 Abdeen Palace . About 1 km east of Midan El-Tahrir, it was the royal residence until the Egyptian monarchy was deposed in 1952. ( updated Jan 2018 )",91c82200,What was the purpose of Abdeen Palace in Cairo until 1952?,Cairo,91c82200
Abdeen Palace is **about 1 km east of Midan El-Tahrir**.,"30.0417 31.2483 4 Abdeen Palace . About 1 km east of Midan El-Tahrir, it was the royal residence until the Egyptian monarchy was deposed in 1952. ( updated Jan 2018 )",91c82200,How far is Abdeen Palace from Midan El-Tahrir?,Cairo,91c82200
Abdeen Palace is located **about 1 km east of Midan El-Tahrir**.,"30.0417 31.2483 4 Abdeen Palace . About 1 km east of Midan El-Tahrir, it was the royal residence until the Egyptian monarchy was deposed in 1952. ( updated Jan 2018 )",91c82200,In which direction from Midan El-Tahrir is Abdeen Palace located?,Cairo,91c82200
The coordinates of **Abdeen Palace** are **30.0417 31.2483**.,"30.0417 31.2483 4 Abdeen Palace . About 1 km east of Midan El-Tahrir, it was the royal residence until the Egyptian monarchy was deposed in 1952. ( updated Jan 2018 )",91c82200,What are the coordinates of Abdeen Palace?,Cairo,91c82200
The information about **Abdeen Palace** was last updated in **January 2018**.,"30.0417 31.2483 4 Abdeen Palace . About 1 km east of Midan El-Tahrir, it was the royal residence until the Egyptian monarchy was deposed in 1952. ( updated Jan 2018 )",91c82200,When was the information about Abdeen Palace last updated?,Cairo,91c82200
"Khan El Khalily in Cairo is a **souq** (traditional market or bazaar) located in **Islamic Cairo**.

It is known for selling:
- **Perfume**
- **Spices**
- **Gold**
- **Egyptian handicrafts**
- **Rustic glassware and perfume bottles**

The market is a major shopping destination with merchants skilled in haggling, and it is part of the historic medieval Islamic city.","30.0475 31.262222 3 Khan El Khalily . Cairo's souk area where visitors will find many merchants selling perfume, spices, gold, Egyptian handicrafts.",a4b7a503,What type of market is Khan El Khalily in Cairo?,Cairo,a4b7a503
